tweet_id,retweet_count,favorite_count
868880397819494401,14245,64335
868639477480148993,2055,0
868622495443632128,5217,26238
868552278524837888,2055,9942
867900495410671616,4119,23785
867774946302451713,7256,33403
867421006826221569,2464,15857
867072653475098625,119,0
867051520902168576,7771,31737
866720684873056260,4760,19759
866686824827068416,3441,18980
866450705531457537,34947,120417
866334964761202691,14282,51753
866094527597207552,8286,0
865718153858494464,5572,25289
865359393868664832,4963,26113
865006731092295680,7629,27637
864873206498414592,8654,31844
864279568663928832,3004,14429
864197398364647424,8865,29753
863907417377173506,4113,20390
863553081350529029,4162,15146
863471782782697472,2430,0
863432100342583297,5209,23548
863427515083354112,96,2228
863079547188785154,1098,8681
863062471531167744,2430,8421
862831371563274240,5091,18990
862722525377298433,3514,16895
862457590147678208,4945,20308
862096992088072192,23191,73792
861383897657036800,10683,35810
861288531465048066,4154,17054
861005113778896900,3800,16589
860981674716409858,2157,0
860924035999428608,817,0
860563773140209665,2157,7460
860524505164394496,5290,23464
860276583193509888,3477,18209
860184849394610176,5870,16579
860177593139703809,30942,0
859924526012018688,4088,19448
859851578198683649,3521,15333
859607811541651456,1578,18504
859196978902773760,30326,89540
859074603037188101,13687,33727
858860390427611136,8184,0
858843525470990336,3505,15506
858471635011153920,4866,21455
858107933456039936,2917,15683
857989990357356544,2603,16105
857746408056729600,10730,34207
857393404942143489,1658,5892
857263160327368704,4555,20013
857214891891077121,18,227
857062103051644929,172,0
857029823797047296,4051,18941
856543823941562368,2922,16281
856526610513747968,1908,11864
856330835276025856,685,0
856288084350160898,17,521
856282028240666624,6413,27781
855862651834028034,26,345
855860136149123072,1042,5024
855857698524602368,2145,11904
855851453814013952,18037,45708
855818117272018944,5530,26730
855459453768019968,8346,30029
855245323840757760,6087,0
855138241867124737,46,0
854732716440526848,6227,22991
854482394044301312,7010,29519
854365224396361728,4790,19034
854120357044912130,7649,32262
854010172552949760,3219,16328
853760880890318849,5916,28869
853639147608842240,10390,35169
853299958564483072,3650,15689
852936405516943360,2063,0
852912242202992640,1886,9166
852672615818899456,2212,15121
852553447878664193,3612,16541
852311364735569921,10165,33560
852226086759018497,6999,20274
852189679701164033,1630,11623
851953902622658560,9932,0
851861385021730816,23,0
851591660324737024,3575,16468
851464819735769094,7305,24644
851224888060895234,5909,21006
850753642995093505,9561,31481
850380195714523136,2706,13305
850333567704068097,347,3505
850145622816686080,3945,16625
850019790995546112,5057,20827
849776966551130114,7870,31065
849668094696017920,5124,0
849412302885593088,3255,16192
849336543269576704,1959,11634
849051919805034497,8817,43288
848690551926992896,4478,25740
848324959059550208,4769,25291
848213670039564288,776,8352
848212111729840128,3182,16686
847978865427394560,3381,0
847971574464610304,443,0
847962785489326080,5293,24039
847842811428974592,1382,5580
847617282490613760,441,7149
847606175596138505,3539,19215
847251039262605312,4461,20947
847157206088847362,6093,20412
847116187444137987,3321,21927
846874817362120707,4085,20565
846514051647705089,12084,45737
846505985330044928,3201,14450
846153765933735936,9466,32479
846139713627017216,10334,31696
846042936437604353,3011,16399
845812042753855489,9112,30036
845677943972139009,4984,25810
845397057150107648,1881,7830
845306882940190720,5629,23965
845098359547420673,7993,0
844979544864018432,2689,13979
844973813909606400,3357,15518
844580511645339650,3280,16955
844223788422217728,2299,14003
843981021012017153,3063,15578
843856843873095681,4851,22039
843604394117681152,2887,17364
843235543001513987,6332,22151
842846295480000512,3777,15671
842765311967449089,1338,6949
842535590457499648,3678,18632
842163532590374912,6087,25203
842115215311396866,3185,14424
841833993020538882,16057,0
841680585030541313,8141,26451
841439858740625411,3866,13015
841320156043304961,5725,20394
841314665196081154,4916,16318
841077006473256960,5569,23592
840761248237133825,1845,0
840728873075638272,16960,0
840698636975636481,2,180
840696689258311684,1033,12680
840632337062862849,1845,9258
840370681858686976,4788,16990
840268004936019968,6027,19895
839990271299457024,2411,13846
839549326359670784,8184,28397
